fid,Zonizzazione,classificazione,etichetta_studio,superfici km2,ID,Macro_aree,etichetta_macroarea
1139,Formazioni boschive,C1,C1,11243.8804071581,1139,Formazioni boschive: Macchia; Gariga; Prateria,C
1141,Giardini ornamentali,A3,A3,9881.14048422215,1141,Giardini ornamentali,A
1143,Formazioni boschive,C4,C4,6434.88924477994,1143,Formazioni boschive: Macchia; Gariga; Prateria,C
1144,Formazioni boschive,C4,C4,6895.88346330309,1144,Formazioni boschive: Macchia; Gariga; Prateria,C
1145,Formazioni boschive,C4,C4,284.846440417226,1145,Formazioni boschive: Macchia; Gariga; Prateria,C
1148,Formazioni boschive,C1,C1,4602.10998068366,1148,Formazioni boschive: Macchia; Gariga; Prateria,C
1151,Parco multifunzionale,PM1,PM1,45710.061575437,1151,Parco nel Parco ex area Nomadi e aree adiacenti,PM
1153,Aree agricole,B3,B3,22821.4956315392,1153,Aree agricole,B
1154,Formazioni boschive,C1,C1,22376.9309279662,1154,Formazioni boschive: Macchia; Gariga; Prateria,C
1155,Formazioni boschive,C1,C1,28370.6407840429,1155,Formazioni boschive: Macchia; Gariga; Prateria,C
1157,Parco multifunzionale,B3,B3,48821.9487290848,1157,Parco nel Parco ex area Nomadi e aree adiacenti,PM
1158,Giardini ornamentali,A2,A2,28963.395919621,1158,Giardini ornamentali,A
1159,Formazioni boschive,C1,C1,2362.31805512999,1159,Formazioni boschive: Macchia; Gariga; Prateria,C
1161,Formazioni boschive,C4,C4,12701.9911600947,1161,Formazioni boschive: Macchia; Gariga; Prateria,C
1162,Aree agricole,B3,B3,40418.4359128656,1162,Aree agricole,B
1164,Formazioni boschive,C4,C4,46861.9529938698,1164,Formazioni boschive: Macchia; Gariga; Prateria,C
1165,Formazioni boschive,C3,C3,57414.9027286004,1165,Formazioni boschive: Macchia; Gariga; Prateria,C
1166,Aree agricole,B4,B4,38091.4335750546,1166,Aree agricole,B
1167,Formazioni boschive,C1,C1,5539.56720726925,1167,Formazioni boschive: Macchia; Gariga; Prateria,C
1168,Formazioni boschive,C3,C3,15995.5682405857,1168,Formazioni boschive: Macchia; Gariga; Prateria,C
1169,Parco multifunzionale,PM2,PM2,83813.6992598351,1169,Parco nel Parco ex area Nomadi e aree adiacenti,PM
1173,Giardini ornamentali,A1,A1,32781.5104187023,1173,Giardini ornamentali,A
1174,Giardini ornamentali,A1,A1,27798.3469562761,1174,Giardini ornamentali,A
1175,Formazioni boschive,C4,C4,7810.09108352661,1175,Formazioni boschive: Macchia; Gariga; Prateria,C
1176,Formazioni boschive,C1,C1,7220.0427286739,1176,Formazioni boschive: Macchia; Gariga; Prateria,C
1178,Formazioni boschive,C1,C1,1701.44444922692,1178,Formazioni boschive: Macchia; Gariga; Prateria,C
1179,Formazioni boschive,C1,C1,22815.1356229633,1179,Formazioni boschive: Macchia; Gariga; Prateria,C
1181,Formazioni boschive,C1,C1,3273.01623481885,1181,Formazioni boschive: Macchia; Gariga; Prateria,C
1186,Formazioni boschive,C1,C1,3299.61102396675,1186,Formazioni boschive: Macchia; Gariga; Prateria,C
1187,Aree agricole,B2,B2,42929.8851860629,1187,Aree agricole,B
1191,Impianti sportivi,F,F,45336.6263137748,1191,Campi Malvagno e aree per attività sportive,F
1195,Giardini ornamentali,B1,B1,3223.23890237045,1195,Giardini ornamentali,B
1196,Giardini ornamentali,A4,A4,157271.984531463,1196,Giardini ornamentali,A
1197,Formazioni boschive,C2,C2,50321.4097033301,1197,Formazioni boschive: Macchia; Gariga; Prateria,C
1198,Formazioni boschive,C1,C1,4098.21371473344,1198,Formazioni boschive: Macchia; Gariga; Prateria,C
1199,Formazioni boschive,C1,C1,1803.52880168706,1199,Formazioni boschive: Macchia; Gariga; Prateria,C
1200,Formazioni boschive,C4,C4,16589.7158407606,1200,Formazioni boschive: Macchia; Gariga; Prateria,C
1202,Formazioni boschive,C1,C1,2671.05352190137,1202,Formazioni boschive: Macchia; Gariga; Prateria,C
1205,Formazioni boschive,C1,C1,4225.78505432606,1205,Formazioni boschive: Macchia; Gariga; Prateria,C
1207,Formazioni boschive,C1,C1,650.557099737227,1207,Formazioni boschive: Macchia; Gariga; Prateria,C
1208,Formazioni boschive,C1,C1,11287.8669982241,1208,Formazioni boschive: Macchia; Gariga; Prateria,C
1210,Formazioni boschive,C1,C1,3565.22507790476,1210,Formazioni boschive: Macchia; Gariga; Prateria,C
1211,Formazioni boschive,C1,C1,3.66091991961002,1211,Formazioni boschive: Macchia; Gariga; Prateria,C
1212,Formazioni boschive,C1,C1,3496.51308011264,1212,Formazioni boschive: Macchia; Gariga; Prateria,C
1213,Formazioni boschive,C1,C1,8299.98740603589,1213,Formazioni boschive: Macchia; Gariga; Prateria,C
1214,Formazioni boschive,C1,C1,1153.62290741033,1214,Formazioni boschive: Macchia; Gariga; Prateria,C
1215,Formazioni boschive,C1,C1,1021.35560248978,1215,Formazioni boschive: Macchia; Gariga; Prateria,C
1216,Formazioni boschive,C1,C1,2077.43772129714,1216,Formazioni boschive: Macchia; Gariga; Prateria,C
1217,Parco multifunzionale,PM3,PM3,46468.9548744839,1217,Parco nel Parco ex area Nomadi e aree adiacenti,PM
1218,Parco multifunzionale,PM1,PM1,2982.66927330196,1218,Parco nel Parco ex area Nomadi e aree adiacenti,PM
1224,Formazioni boschive,C1,C1,1094.89022044837,1224,Formazioni boschive: Macchia; Gariga; Prateria,C
1225,Formazioni boschive,C1,C1,869.685984221287,1225,Formazioni boschive: Macchia; Gariga; Prateria,C
1226,Formazioni boschive,C1,C1,1011.01448134679,1226,Formazioni boschive: Macchia; Gariga; Prateria,C
1227,Formazioni boschive,C1,C1,17235.2285068631,1227,Formazioni boschive: Macchia; Gariga; Prateria,C
1229,Parco multifunzionale,PM2,PM2,45879.1197991372,1229,Parco nel Parco ex area Nomadi e aree adiacenti,PM
1230,Formazioni boschive,C3,C3,162593.295068909,1230,Formazioni boschive: Macchia; Gariga; Prateria,C
